City,Longitude,Latitude,Temperature,Wind Speed,Humidity,Cloudiness
Kutum,24.6667,14.2,82.78,12.82,11,36
Lebu,-73.65,-37.6167,52.18,8.01,68,73
Khatanga,102.5,71.9667,37.85,9.82,78,99
Ilhabela,-45.3581,-23.7781,79.74,4.88,64,79
Port Elizabeth,25.5701,-33.918,55.69,12.66,94,90
Kapustin Yar,45.7372,48.5831,68.5,4.65,68,19
Ushuaia,-68.3,-54.8,29.86,21.85,93,90
Uyuni,-66.825,-20.4597,46.22,8.55,23,100
Port Lincoln,135.8667,-34.7333,54.36,12.55,69,1
Ilulissat,-51.1,69.2167,59.02,17.27,23,49
Severo-Kuril'sk,156.125,50.6789,41.31,8.5,87,100
Javānrūd,46.5172,34.7961,62.51,3.62,23,0
Busselton,115.3333,-33.65,53.04,14.63,89,96
Hithadhoo,73.0833,-0.6,83.62,18.07,71,38
Bilma,12.9164,18.6853,92.7,6.58,7,45
Nikolskoye,30.7861,59.7035,49.89,4.52,73,2
Moree,149.85,-29.4667,44.62,8.05,70,100
Kavaratti,72.642,10.5669,83.39,16.17,76,87
Dikson,80.5464,73.5069,16.92,4.81,97,36
Yārāda,83.2667,17.65,80.92,6.29,83,40
Chapleau,-83.4034,47.8405,62.69,4.61,19,20
Kiryat Gat,34.7642,31.61,68.0,2.33,100,0
Port Alfred,26.891,-33.5906,59.7,17.11,79,99
Laguna,-121.4238,38.421,80.06,8.99,42,1
Qaanaaq,-69.3632,77.484,31.08,5.86,95,55
Puerto Ayora,-90.3518,-0.7393,75.54,8.99,86,52
Makakilo City,-158.0858,21.3469,79.75,11.5,58,1
Hobart,147.3294,-42.8794,45.09,1.99,78,75
Laas,10.7002,46.6166,58.14,6.11,90,6
Punta Arenas,-70.9167,-53.15,37.51,18.07,48,40
Philadelphia,-75.1638,39.9523,50.65,5.01,89,90
Nouadhibou,-17.0347,20.931,66.18,24.16,88,0
Atuona,-139.0333,-9.8,78.89,9.46,72,12
Kultuk,103.6956,51.7208,38.62,1.63,93,97
Eyl,49.8164,7.9803,79.63,19.42,78,58
Tuktoyaktuk,-133.0374,69.4541,30.2,6.91,74,90
Rikitea,-134.9692,-23.1203,77.13,20.42,85,94
New Norfolk,147.0587,-42.7826,42.17,3.47,76,33
Narsaq,-46.05,60.9167,46.62,5.66,83,100
Bairiki Village,172.9752,1.3292,84.2,13.8,79,75
Pitimbu,-34.8086,-7.4706,81.19,12.28,75,3
Sangar,127.4739,63.9242,50.22,8.81,60,99
Mazatlán,-106.4167,23.2167,84.9,4.0,77,40
Kapaa,-159.319,22.0752,80.73,3.0,68,20
Vila Velha,-40.2925,-20.3297,82.35,8.05,69,0
Province of Mantua,10.7833,45.1667,66.49,14.88,88,76
Thompson,-97.8558,55.7435,53.76,11.5,82,75
Krasnosel'kup,82.4667,65.7,37.17,10.8,55,10
Saskylakh,114.0833,71.9167,32.18,8.68,93,74
East London,27.9116,-33.0153,61.2,22.3,72,42
São Filipe,-24.4956,14.8961,73.71,14.12,77,8
Veinticinco de Mayo,-60.1727,-35.4323,46.38,6.82,61,14
Mataura,168.8643,-46.1927,49.48,4.32,95,100
Esperance,121.9,-33.8667,62.44,19.89,87,100
Mahébourg,57.7,-20.4081,75.49,2.3,94,40
Carnarvon,113.6333,-24.8667,59.07,8.05,94,40
George Town,100.3354,5.4112,81.32,5.99,87,20
Jalu,21.5482,29.0331,92.39,10.18,15,5
Alexandria,29.9553,31.2156,71.87,3.31,71,0
Kisarawe,39.0667,-6.9,69.6,4.72,94,20
Bluff,168.3333,-46.6,49.8,21.05,87,100
Babu,111.5167,24.4167,75.99,0.51,98,100
Deputatsky,139.9,69.3,46.53,17.96,50,28
Carutapera,-46.02,-1.195,76.89,6.53,92,28
Amarante do Maranhão,-46.7422,-5.5667,78.49,1.57,64,24
Padang,100.3543,-0.9492,77.54,2.51,76,100
Hofn,-15.2082,64.2539,45.93,18.84,87,100
Nantucket,-70.0995,41.2835,48.07,23.02,88,90
Yar-Sale,70.8333,66.8333,45.45,10.87,77,71
Kanniyākumāri,77.5667,8.0833,80.01,21.23,83,97
Pisco,-76.2167,-13.7,66.25,6.91,82,90
Butaritari,172.7902,3.0707,82.42,15.05,79,100
Guerrero Negro,-114.0611,27.9769,67.75,20.24,62,58
Leningradskiy,178.4167,69.3833,35.26,6.64,90,48
Cherskiy,161.3,68.75,54.16,13.82,39,15
Faanui,-151.75,-16.4833,79.72,6.29,68,24
Lityn,28.0809,49.3251,50.16,5.21,91,91
Tegul'det,88.1667,57.3064,31.91,3.27,68,39
Gushikawa,127.8686,26.3544,69.01,17.02,88,75
Nanortalik,-45.2371,60.1432,36.97,6.55,87,100
Hambantota,81.1185,6.1241,79.77,20.13,81,83
Hermanus,19.2345,-34.4187,51.8,5.55,80,51
Saint George,-113.5841,37.1041,91.58,1.99,11,1
Lüderitz,15.1594,-26.6481,60.3,14.76,67,39
Château-Thierry,3.4,49.05,55.22,8.1,87,97
Derzhavīnsk,66.3167,51.1,65.89,7.47,38,51
Pyskowice,18.6333,50.4,49.32,4.0,89,100
Saint Lawrence,14.204,36.0553,68.86,4.99,81,67
Antalaha,50.2788,-14.9003,72.25,5.84,81,31
Ankazoabo,44.5167,-22.2833,60.06,4.29,77,0
Yellowknife,-114.3525,62.456,53.26,1.99,37,40
Anadyr,177.4833,64.75,48.7,2.1,43,0
Albany,-73.9662,42.6001,49.41,5.37,74,100
Tasiilaq,-37.6368,65.6145,39.36,13.73,95,100
Hasaki,140.8333,35.7333,65.93,8.28,85,99
Bredasdorp,20.0403,-34.5322,54.72,3.74,88,14
Souillac,57.5167,-20.5167,75.58,7.09,94,40
Plérin,-2.7798,48.5425,56.3,1.01,82,0
Stornoway,-6.3865,58.2093,55.9,2.3,82,98
Upernavik,-56.1549,72.7868,31.62,17.27,92,100
San Luis,-66.3356,-33.295,55.67,3.2,47,75
Khao Yoi,99.8243,13.2403,82.98,3.91,83,100
Oktyabr'skoye,44.7417,43.0645,64.35,5.1,82,26
Castro,-50.0119,-24.7911,67.93,6.85,69,43
Rottenmann,14.35,47.5167,44.62,2.42,93,64
Dali,100.1833,25.7,65.19,4.92,79,75
Cape Town,18.4232,-33.9258,56.61,0.07,87,40
Clyde River,-68.5914,70.4692,32.23,5.75,74,20
Lavrentiya,-171.0,65.5833,32.99,8.34,80,6
Zhigansk,123.3711,66.7697,50.52,8.88,51,1
Tiksi,128.8694,71.6872,31.91,9.75,96,86
Chokurdakh,147.9167,70.6333,54.36,12.24,40,8
Portel,-50.8211,-1.9356,81.54,3.62,76,15
Bauchi,10.0,10.5,85.8,10.54,42,100
Lorengau,147.2712,-2.0226,81.97,12.71,80,55
Lata,-8.3327,40.1629,62.28,2.98,96,0
Alta Floresta,-56.0861,-9.8756,87.62,1.14,45,20
Fortuna,-124.1573,40.5982,59.11,4.0,76,75
La Paz,-68.15,-16.5,60.78,16.11,19,75
Along,94.7667,28.1667,72.93,0.81,98,94
Pontes e Lacerda,-59.3353,-15.2261,85.35,3.51,39,63
Torbay,-52.7314,47.6666,46.76,13.8,71,75
Faya,42.4509,18.3851,68.52,1.39,38,100
Huarmey,-78.1522,-10.0681,67.59,8.57,83,48
Surgut,73.4167,61.25,57.38,10.83,67,20
Omsukchan,155.8,62.5333,33.91,7.07,81,96
Hilo,-155.09,19.7297,78.55,10.36,73,20
Marinette,-87.6307,45.1,61.02,9.22,27,1
Ipu,-40.7108,-4.3222,81.43,2.33,62,93
Bemidji,-94.8803,47.4736,64.54,11.5,34,1
El Carmen,-73.4478,8.5106,72.32,1.32,90,100
Tazovsky,78.7,67.4667,39.76,18.39,58,99
Bethel,-73.414,41.3712,47.39,5.01,87,100
Linxia Chengguanzhen,103.2064,35.6003,55.87,5.35,47,18
Kichera,110.0997,55.9375,38.41,1.16,84,100
Sampang,113.2394,-7.1872,78.75,5.41,81,97
Marsá Maţrūḩ,27.2453,31.3525,70.09,3.96,74,0
Marrakesh,-8.0083,31.6315,80.67,3.44,47,40
Vaini,-175.2,-21.2,75.36,1.14,88,75
Ukiah,-123.2078,39.1502,81.0,5.75,33,1
Bariloche,-71.3082,-41.1456,42.55,10.71,61,40
Karabük,32.6277,41.2049,58.46,3.71,97,100
Katsuura,140.3,35.1333,65.86,7.23,86,98
Ponta do Sol,-17.1,32.6667,69.39,6.33,72,33
Coquimbo,-71.3436,-29.9533,60.53,8.01,82,0
Goderich,-81.7165,43.7501,57.36,17.27,51,9
Sinnamary,-52.95,5.3833,79.9,9.91,84,76
Kirakira,161.9205,-10.4544,76.73,5.01,92,100
Tessalit,1.0114,20.1986,97.34,9.46,6,100
Ladário,-57.6017,-19.0047,91.69,5.75,43,40
Pevek,170.3133,69.7008,42.19,11.97,54,0
Bambous Virieux,57.7575,-20.3428,75.45,5.46,94,40
Talnakh,88.3972,69.4865,26.15,3.33,98,96
Kapit,112.9333,2.0167,72.1,1.43,100,82
Nioro,-15.75,13.35,81.9,11.03,45,57
Hirara,125.2833,24.8,81.93,20.45,86,100
Tevaitoa,-151.5,-16.7833,79.77,8.46,69,47
Khandyga,135.6,62.6667,53.33,9.33,84,100
Luanda,13.2343,-8.8368,75.2,5.75,94,75
Salé,-6.8166,34.0389,67.73,4.61,88,100
Punta Cardon,-70.215,11.6581,82.06,29.51,65,100
Villazón,-65.5942,-22.0866,53.83,17.56,13,59
Wadern,6.8833,49.5333,55.8,5.66,82,6
Richards Bay,32.0377,-28.783,64.42,5.82,85,9
Te Anau,167.7167,-45.4167,46.44,7.09,95,100
Katangli,143.2326,51.7102,36.36,14.32,92,100
Gurupá,-51.64,-1.405,81.66,2.77,77,49
Taldan,124.8,53.6667,42.21,2.91,85,15
Cabo San Lucas,-109.9124,22.8909,87.17,8.05,48,20
Kandrian,149.55,-6.2167,78.37,11.16,87,88
Visnes,5.2242,59.3556,50.36,14.97,87,90
Pangnirtung,-65.7125,66.1451,32.09,5.01,84,19
Kaitangata,169.8464,-46.2817,49.24,10.92,93,100
Khedbrahma,73.05,24.0333,87.93,10.63,54,100
Provideniya,-173.3,64.3833,45.25,11.14,45,5
Chicama,-79.1469,-7.8447,64.94,10.58,77,65
Novobirilyussy,90.6661,56.9514,30.92,3.69,73,31
San Patricio,-97.5169,28.017,80.78,7.81,69,57
Jamestown,-79.2353,42.097,49.73,4.0,81,90
Saurimo,20.3916,-9.6608,62.69,5.48,42,100
Mana,-53.7767,5.6592,79.11,8.43,87,100
Baykit,96.37,61.67,36.45,6.29,96,100
South Kazakhstan Region,68.0,43.0,78.75,3.13,33,100
Sungai Penuh,101.3833,-2.0833,65.89,1.77,89,100
Manakara,48.0167,-22.1333,67.91,7.78,93,98
Balkhash,74.9804,46.844,66.61,17.78,41,52
Saint-Philippe,55.7679,-21.3585,67.89,4.7,81,16
Los Llanos de Aridane,-17.9182,28.6585,63.12,11.83,89,20
Urusha,122.9,54.05,43.99,3.58,84,74
San Cristobal,-72.225,7.7669,71.78,2.19,71,75
Flinders,150.8552,-34.5833,52.84,8.01,72,91
Port Hardy,-127.4199,50.6996,53.78,3.44,71,75
Hsinchu,120.9686,24.8036,78.62,1.01,93,100
Uíge,15.0613,-7.6087,69.37,3.76,62,34
Saint Anthony,-93.218,45.0205,64.56,3.0,37,1
La Ronge,-105.2842,55.1001,46.65,12.66,66,90
Victor Harbor,138.6167,-35.5667,46.08,8.16,70,0
Barrow,-156.7887,71.2906,30.22,12.66,80,90
Ribeira Grande,-28.7,38.5167,66.6,3.44,77,75
Ostrovnoy,39.5131,68.0531,35.13,16.04,79,100
